DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
7/15/2016,666.69,670.18,661.47,664.56,131134987
7/18/2016,664.12,673.5,662.25,673.5,131475169
7/19/2016,675.89,677.35,660.09,667.76,139586806
7/20/2016,667.86,667.86,660.26,660.26,129409012
7/21/2016,662.72,665.9,656.03,659.57,112376924
7/22/2016,657.15,658.06,640.26,649.87,151762705
7/25/2016,651.33,654.17,646.04,649.3,97521070
7/26/2016,648.58,651.93,642.91,648.59,106200466
7/27/2016,647.98,656.11,647.74,656.11,127212901
7/28/2016,655.81,657.2,649.86,657.14,122995228
7/29/2016,654.19,657.88,650.98,652.23,120007853
8/1/2016,655.38,655.38,646.02,648.38,92786858
8/2/2016,643.2,643.2,633.33,636.05,176389415
8/3/2016,632.98,634.75,627.66,631.61,94952845
8/4/2016,633.74,641.02,631.94,631.94,112054475
8/5/2016,629.69,630.18,622.49,627.39,125577237
8/8/2016,627.39,629.91,622.14,629.46,90026903
8/9/2016,629.66,637.34,629.66,637.34,98867142
8/10/2016,637.21,648.48,637.21,648.33,120826260
8/11/2016,649.27,660.24,648.31,660.24,140932553
8/12/2016,665.14,668.52,652.67,655.71,125031135
8/15/2016,654.06,659.47,653.64,659.47,117957041
8/16/2016,659.47,662.13,656.83,658.11,160323174
8/17/2016,659.46,660.76,657.06,660.51,123972737
8/18/2016,663.56,665.94,656.35,660.65,131630610
8/19/2016,664.09,666.93,659.64,662.28,109696013
8/22/2016,662.87,664.95,657.68,657.68,116313401
8/23/2016,653.58,659.16,652.88,659.16,109076919
8/24/2016,660.95,665.43,659.7,660.77,103852017
8/25/2016,660.77,660.77,656.49,658.5,116130990
8/26/2016,662.9,668.84,662.9,667.75,116441362
8/29/2016,670.71,679.62,669.44,669.44,114887828
8/30/2016,667.96,672.67,666.33,672.67,96553445
9/1/2016,674.19,674.72,664.77,669.19,102236975
9/5/2016,669.3,670.08,660.31,664.55,110452165
9/6/2016,666.38,668.4,663.9,663.9,108988687
9/7/2016,663.05,663.68,656.22,661.28,106478655
9/8/2016,661.89,668.2,660.54,666.07,124555726
9/9/2016,669.24,672.39,666.88,666.88,106069911
9/12/2016,665.77,666.04,655.55,659.76,101334675
9/13/2016,658.61,661.74,654.95,659.72,87742729
9/14/2016,658.16,661.82,656.64,656.64,96405371
9/15/2016,657.46,660.32,654.84,656.18,112721637
9/16/2016,654.68,657.53,651.31,651.31,206937884
9/19/2016,651.31,658.35,651.31,657.89,107313289
9/20/2016,656.2,663.37,653.28,663.37,118443376
9/21/2016,663.12,668.83,662.79,668.48,158846286
9/22/2016,668.48,675.36,668.48,671.38,144396670
9/23/2016,670.73,674.09,670.3,674.09,176039748
9/26/2016,673.21,677.04,671.51,677.04,162242504
9/27/2016,676.61,684.89,676.24,684.89,130570028
9/28/2016,684.99,687.94,682.98,686.72,128176296
9/29/2016,689.82,692.17,685.91,688.55,115920966
9/30/2016,688.55,689.12,684.62,685.73,115737606
10/3/2016,687.68,688.42,681.99,683.05,121373564
10/4/2016,682.82,689.17,680.24,684.2,123103077
10/5/2016,686.41,689.5,685.48,687.04,116965594
10/6/2016,689.1,690.93,687.04,687.32,150660971
10/7/2016,689.51,690.19,680.26,683.95,140056120
10/10/2016,684.05,684.46,674.19,674.19,139489963
10/11/2016,677.63,682.36,669.2,682.36,148016135
10/12/2016,683.88,686.18,681.12,682.45,120752695
10/13/2016,680.73,685.23,678.79,685.23,125235595
10/17/2016,687.18,687.94,680.95,680.95,113706862
10/18/2016,680.44,682.99,678.13,682.02,132556946
10/19/2016,683.83,689.88,683.25,688.89,149347013
10/20/2016,690.45,690.86,685.63,686.39,121092926
10/21/2016,685.77,687.54,683.76,684.83,136021849
10/24/2016,683.14,684.51,677.89,678.02,125471958
10/25/2016,676.29,677.47,673.84,676.18,127870459
10/26/2016,676.18,676.18,670.8,673.61,102375848
10/27/2016,672.81,676.9,671.61,676.9,91029134
10/28/2016,676.74,682.25,675.85,682.25,117262452
10/31/2016,682.11,683.34,675.8,675.8,130146695
11/1/2016,675.13,676.6,672.33,676.6,118657708
11/2/2016,675.68,678.14,671.4,671.4,142390107
11/3/2016,668.66,668.66,661.86,667.63,0
